COUNTRY,YEAR,TOTAL POINTS,TRIES SCORED,TRY ASSISTS,SUCCESSFUL PENALTY KICKS,SUCCESSFUL CONVERSIONS,GOAL KICKING %,ATTACKING 22M ENTRIES,POINTS PER 22M ENTRY,CARRIES,METRES CARRIED,TOTAL PASSES,OFFLOADS,LINEBREAKS,KICKS IN PLAY,MADE TACKLE %,TACKLES MADE,TACKLES MISSED,ATTACKING RUCK ARRIVALS,DEFENSIVE RUCK ARRIVALS,BREAKDOWN STEALS,LINEOUT TAKES,LINEOUT STEALS,LINEOUTS WON,SCRUM WIN %,METRES GAINED,% RUCKS 0-3 SECONDS,% RUCKS 4-6 SECONDS,% RUCKS OVER 6 SECONDS
ITALY,2021,55,6,3,5,5,90.91,35,8.29,564,3208.5,803,30,22,88,83.14,735,149,965,276,9,60,2,62,75,1633.3,63.2,24.24,3.03
IRELAND,2022,168,24,18,4,18,73.33,56,15.04,694,4569.8,1047,39,33,126,89.44,559,66,1110,263,16,70,3,74,96,2708.5,65.97,19.58,7.6
FRANCE,2022,141,17,15,12,10,66.67,45,14.67,496,2955.9,568,50,23,151,90.17,633,69,794,369,28,62,3,64,79.41,1865.5,55.56,23.61,13.33
ENGLAND,2022,101,8,6,17,5,81.48,38,7.37,558,3921.5,709,30,18,135,86.86,595,90,976,249,18,58,5,61,72.73,2325.4,53.65,21,14.61
SCOTLAND,2022,92,11,9,7,7,82.35,36,12.13,581,4219.2,777,28,29,126,88.92,666,83,1087,286,21,67,4,70,64.52,2413.5,52.68,27.19,10.71
WALES,2022,76,8,4,7,6,81.25,38,9.19,617,3783.6,882,45,17,141,88.66,766,98,1101,431,16,56,4,56,80,1934.4,49.1,28.26,11.42
ITALY,2022,60,5,5,9,4,72.22,35,5.86,468,3022.3,648,29,20,169,86.42,827,130,933,250,20,57,3,61,92.5,1728.8,46.95,23.35,17.26
FRANCE,2023,174,21,17,10,18,84.85,50,15.16,558,3590.1,628,45,34,156,89.03,820,101,829,382,15,47,4,49,75,2453.3,57.64,21.98,12.33
IRELAND,2023,151,20,17,7,15,81.48,53,13.52,696,4285.7,897,30,39,153,85.33,704,121,1236,327,22,60,7,60,72.41,2685.1,59.23,24.86,8.78
SCOTLAND,2023,118,17,15,3,12,75,41,14.11,621,3989.2,851,40,26,129,91.72,831,75,1036,331,11,58,7,58,75.76,2324.2,58.42,21.23,11.82
ENGLAND,2023,100,13,9,7,6,61.9,45,9.27,615,3523.3,743,21,16,170,82.92,704,145,1153,264,18,61,,61,78.79,1971.9,53.96,22.92,13.75
ITALY,2023,89,9,4,10,6,80,42,8.9,649,3911.6,974,36,29,107,84.77,690,124,1023,246,11,70,2,71,76.92,2180.7,62.63,21.92,6.26
WALES,2023,84,11,6,3,9,80,50,8.42,594,3250.7,774,46,19,146,84.03,742,141,1048,388,16,56,5,57,67.74,1818.2,52.48,26.13,12.31
IRELAND,2024,144,19,14,7,14,75,48,,685,3944.2,1018,37,36,144,86.5,660,103,1235,331,14,61,5,62,81.25,2216.8,56.1,26.78,11.84
FRANCE,2024,128,13,9,13,12,89.29,43,,585,3338.7,736,45,27,141,88.58,613,79,990,275,11,58,3,60,84,2073.5,55.24,21.18,16.38
ENGLAND,2024,118,13,11,11,7,69.23,48,,473,2895.7,638,18,28,151,84.28,622,116,909,316,10,62,5,62,75,1815.8,50.53,22.37,20
SCOTLAND,2024,115,12,9,11,11,95.65,35,,604,3502.6,750,47,22,171,89.29,792,95,1159,344,12,46,5,46,69.05,2095.5,55.24,22.38,16.22
ITALY,2024,92,9,8,11,7,78.26,24,,466,2774,631,33,21,135,86.09,972,157,900,417,17,53,2,57,72.73,1649.9,45.38,22.83,21.2
WALES,2024,92,13,5,1,10,91.67,38,,643,3314.7,870,22,22,143,86.31,725,115,1299,359,13,66,3,67,64.52,1758.8,42.44,34.79,14.57
